,0
1044,wydawnictwo
1045,oppidum
1046,odłóg
1047,koszary
1048,seminarium duchowne
1049,kondominium
1050,klasztor
1051,meczet
1052,falanster
1053,centrum handlowe
1054,kąpielisko
1055,duży kraal
1056,działka robocza
1057,oblicówka
1058,naumachia
1059,stoisko
1060,pole uprawne
1061,świronek
1062,dom wariatów
1063,opłotki
1064,seminarium teologiczne
1065,prywatniak
1066,chan
1067,błoto
1068,radiant
1069,hydrobudowa
1070,bulik
1071,gospoda
1072,salon
1073,folusz
1074,żłobek
1075,panteon
1076,cerkiew
1077,klepisko
1078,przepaść
1079,sklep za żółtymi firankami
1080,sernica
1081,dach
1082,uczelnia
1083,gestapo
1084,ściana wspinaczkowa
1085,urologia
1086,wioska
1087,salon meblowy
1088,brojlernia
1089,szmateks
1090,lęgowisko
1091,salonik
1092,placówka służby zdrowia
1093,prokatedra
1094,prostylos
1095,biblioteka
1096,agora
1097,kolokacja
1098,monaster
1099,rolkarnia
1100,desa
1101,półsanatorium
1102,raj
1103,obóz koncentracyjny
1104,sublokatorka
1105,poradnia
1106,zlewnia
1107,sklep warzywny
1108,gontyna
1109,punkt witalny
1110,odwykówka
1111,optyk
1112,szkoła podstawowa
1113,wyspa wulkaniczna
1114,ogród różańcowy
1115,miasto satelickie
1116,politechnika
1117,tercja
1118,stolica regionu
1119,podgrodzie
1120,kraina neotropikalna
1121,hotel
1122,śródlądzie
